,date,timeGMT,tempIMU_C,lat,lon
0,2020-11-30,114639.000,34.89,-40.584941,-64.998254
2556,2020-11-30,115637.000,30.0,-40.584837,-64.998202
5292,2020-11-30,120625.000,37.64,-40.584822,-64.998202
8748,2020-11-30,121619.000,48.11,-40.58485,-64.998188
12240,2020-11-30,122617.000,51.21,-40.584854,-64.998204
15678,2020-11-30,123608.000,42.91,-40.584901,-64.998213
19134,2020-11-30,124600.000,37.49,-40.584888,-64.998222
22608,2020-11-30,125555.000,36.6,-40.584887,-64.998225
26082,2020-11-30,130551.000,36.29,-40.584886,-64.998209
29520,2020-11-30,131541.000,46.01,-40.584884,-64.998128
32994,2020-11-30,132535.000,42.84,-40.584872,-64.998127
36504,2020-11-30,133537.000,42.18,-40.58488,-64.998191
39960,2020-11-30,134529.000,40.44,-40.584871,-64.998115
43470,2020-11-30,135529.000,41.54,-40.584863,-64.998007
46998,2020-11-30,140533.000,38.8,-40.584895,-64.998224
50094,2020-11-30,141507.000,33.96,-40.584685,-64.998231
52920,2020-11-30,142459.000,33.55,-40.584899,-64.998213
55872,2020-11-30,143451.000,35.48,-40.584899,-64.998224
59112,2020-11-30,144447.000,35.63,-40.584904,-64.998216
62478,2020-11-30,145441.000,36.3,-40.584897,-64.998194
65880,2020-11-30,150428.000,36.61,-40.584789,-64.998223
69354,2020-11-30,151423.000,36.6,-40.584838,-64.998237
72828,2020-11-30,152417.000,38.5,-40.584852,-64.998255
76320,2020-11-30,153415.000,37.21,-40.584921,-64.998175
79758,2020-11-30,154405.000,36.55,-40.58487,-64.998239
83232,2020-11-30,155400.000,36.43,-40.584925,-64.998232
86616,2020-11-30,160353.000,36.61,-40.584903,-64.998224
90090,2020-11-30,161347.000,37.85,-40.584882,-64.998232
93528,2020-11-30,162335.000,38.14,-40.584898,-64.998232
96984,2020-11-30,163328.000,39.01,-40.58489,-64.998227
100440,2020-11-30,164322.000,37.55,-40.584877,-64.998222
103914,2020-11-30,165315.000,37.68,-40.584888,-64.998228
107370,2020-11-30,170308.000,38.03,-40.58489,-64.998204
110880,2020-11-30,171307.000,38.39,-40.584894,-64.998209
114444,2020-11-30,172317.000,38.82,-40.584836,-64.998069
117792,2020-11-30,173252.000,38.38,-40.584864,-64.998248
121284,2020-11-30,174248.000,37.61,-40.584832,-64.998171
124794,2020-11-30,175249.000,37.59,-40.584814,-64.998182
128376,2020-11-30,180303.000,38.07,-40.584906,-64.998223
131670,2020-11-30,181225.000,38.63,-40.58491,-64.998206
135108,2020-11-30,182215.000,39.45,-40.584904,-64.998231
138582,2020-11-30,183213.000,38.36,-40.584918,-64.99825
142020,2020-11-30,184201.000,37.99,-40.584906,-64.998237
145494,2020-11-30,185155.000,39.49,-40.584891,-64.998237
148950,2020-11-30,190147.000,40.33,-40.584904,-64.998211
152424,2020-11-30,191141.000,39.93,-40.584902,-64.998236
155898,2020-11-30,192135.000,45.38,-40.58489,-64.998214
159354,2020-11-30,193128.000,42.19,-40.584879,-64.998198
162810,2020-11-30,194121.000,41.05,-40.58491,-64.998235
166284,2020-11-30,195116.000,41.54,-40.584912,-64.998214
169758,2020-11-30,200111.000,38.83,-40.584908,-64.998238
173232,2020-11-30,201104.000,40.34,-40.584864,-64.998189
176670,2020-11-30,202055.000,40.77,-40.584709,-64.998042
180126,2020-11-30,203049.000,42.83,-40.584982,-64.998327
183600,2020-11-30,204044.000,40.46,-40.585216,-64.9986
187056,2020-11-30,205036.000,41.54,-40.584978,-64.998283
190566,2020-11-30,210036.000,44.71,-40.584505,-64.997718
194004,2020-11-30,211024.000,42.16,-40.584528,-64.997704
197496,2020-11-30,212022.000,42.18,-40.584562,-64.997738
200934,2020-11-30,213012.000,37.79,-40.584616,-64.997816
204498,2020-11-30,214020.000,36.82,-40.584622,-64.99778
207828,2020-11-30,215006.000,35.86,-40.584921,-64.998197
211086,2020-11-30,220004.000,36.44,-40.584896,-64.998118
214632,2020-11-30,221012.000,37.48,-40.584856,-64.9983
217980,2020-11-30,221945.000,37.28,-40.584931,-64.998098
221490,2020-11-30,222949.000,37.12,-40.58491,-64.998081
224999,2020-11-30,223949.830,36.5,-40.584909,-64.998111
