,date,timeGMT,tempIMU_C,lat,lon
0,2020-11-29,161047.000,40.44,-40.583956,-64.998587
3384,2020-11-29,162039.000,40.39,-40.584055,-64.998452
6786,2020-11-29,163031.000,48.97,-40.5841,-64.998542
10170,2020-11-29,164023.000,43.12,-40.583922,-64.998551
13662,2020-11-29,165031.000,40.19,-40.584008,-64.998635
17100,2020-11-29,170030.000,44.05,-40.583991,-64.998621
20628,2020-11-29,171044.000,43.16,-40.583977,-64.998534
24192,2020-11-29,172104.000,44.0,-40.584654,-64.999229
27558,2020-11-29,173048.000,41.85,-40.584206,-64.99865
31122,2020-11-29,174110.000,41.89,-40.584641,-64.998533
34488,2020-11-29,175054.000,41.5,-40.58292,-64.999004
37944,2020-11-29,180101.000,41.24,-40.584933,-64.998579
41454,2020-11-29,181112.000,42.67,-40.584047,-64.998521
44982,2020-11-29,182124.000,42.12,-40.583065,-64.999637
48618,2020-11-29,183158.000,40.81,-40.583948,-64.998816
51804,2020-11-29,184112.000,37.22,-40.583944,-64.998604
55260,2020-11-29,185116.000,36.23,-40.583941,-64.998548
58716,2020-11-29,190117.000,36.08,-40.583226,-64.998309
62262,2020-11-29,191136.000,36.37,-40.583922,-64.997335
65700,2020-11-29,192134.000,36.4,-40.584369,-64.999176
69138,2020-11-29,193131.000,36.22,-40.582614,-64.996379
72756,2020-11-29,194204.000,36.39,-40.583983,-64.998588
76032,2020-11-29,195135.000,36.04,-40.583992,-64.998616
79524,2020-11-29,200144.000,36.07,-40.583816,-64.99836
82962,2020-11-29,201143.000,35.42,-40.58401,-64.998581
86400,2020-11-29,202143.000,35.38,-40.583993,-64.998633
89892,2020-11-29,203152.000,35.67,-40.583909,-64.998398
93348,2020-11-29,204153.000,35.35,-40.584104,-64.998524
96786,2020-11-29,205153.000,35.36,-40.584055,-64.998521
100260,2020-11-29,210157.000,35.24,-40.584192,-64.99861
103824,2020-11-29,211219.000,35.66,-40.583753,-64.998403
107406,2020-11-29,212241.000,35.78,-40.584092,-64.998734
110916,2020-11-29,213252.000,35.56,-40.583965,-64.998575
114137,2020-11-29,214213.827,34.91,-40.584082,-64.998608
114138,2020-11-30,120922.000,25.97,-40.58395,-64.9986
117612,2020-11-30,121928.000,25.7,-40.583931,-64.998597
121068,2020-11-30,122929.000,25.51,-40.583901,-64.998616
124614,2020-11-30,123949.000,24.19,-40.584084,-64.998912
127962,2020-11-30,124934.000,23.72,-40.584114,-64.998537
131418,2020-11-30,125935.000,27.96,-40.58372,-64.999326
134874,2020-11-30,130940.000,25.96,-40.583965,-64.998614
138438,2020-11-30,132002.000,30.6,-40.583866,-64.999216
141912,2020-11-30,133006.000,30.89,-40.583878,-64.999816
145386,2020-11-30,134013.000,29.65,-40.583989,-64.998811
148896,2020-11-30,135025.000,34.83,-40.584028,-65.000146
152370,2020-11-30,140031.000,37.58,-40.58399,-64.998638
155646,2020-11-30,141005.000,33.57,-40.584019,-64.998645
159174,2020-11-30,142018.000,34.09,-40.584112,-64.998677
162576,2020-11-30,143011.000,35.03,-40.583994,-64.998578
166104,2020-11-30,144027.000,40.08,-40.584096,-64.998655
169596,2020-11-30,145033.000,42.34,-40.583948,-64.998687
172962,2020-11-30,150022.000,44.62,-40.584018,-64.9987
176472,2020-11-30,151032.000,35.39,-40.58401,-64.998638
180108,2020-11-30,152107.000,33.4,-40.583488,-64.998769
183510,2020-11-30,153059.000,32.95,-40.58507,-64.999556
187002,2020-11-30,154108.000,33.16,-40.584968,-64.999447
190350,2020-11-30,155050.000,32.87,-40.583891,-64.998777
194022,2020-11-30,160131.000,35.12,-40.583388,-64.999044
197370,2020-11-30,161116.000,35.52,-40.583993,-64.99956
200862,2020-11-30,162124.000,35.71,-40.584443,-64.997091
204300,2020-11-30,163122.000,34.08,-40.584435,-65.000265
207666,2020-11-30,164109.000,33.72,-40.583944,-64.998615
211284,2020-11-30,165140.000,34.2,-40.584665,-65.000215
214758,2020-11-30,170145.000,34.15,-40.584891,-65.000508
218232,2020-11-30,171149.000,34.43,-40.584541,-65.000152
221670,2020-11-30,172149.000,34.52,-40.584507,-65.000179
225162,2020-11-30,173158.000,34.43,-40.583693,-64.998558
228726,2020-11-30,174218.000,34.99,-40.583773,-64.998238
232092,2020-11-30,175205.000,34.94,-40.583877,-64.999031
235710,2020-11-30,180236.000,34.13,-40.584216,-64.998563
238896,2020-11-30,181152.000,33.72,-40.583702,-65.00057
242370,2020-11-30,182157.000,33.89,-40.582886,-64.99784
245970,2020-11-30,183226.000,34.5,-40.583899,-64.999137
249336,2020-11-30,184211.000,34.52,-40.584697,-64.99864
252900,2020-11-30,185233.000,36.92,-40.584038,-64.998638
256158,2020-11-30,190201.000,35.42,-40.584757,-64.999918
259650,2020-11-30,191208.000,35.58,-40.584791,-64.999846
263160,2020-11-30,192221.000,40.99,-40.584806,-64.9996
266562,2020-11-30,193051.000,46.1,-41.036786,-65.645142
270000,2020-11-30,193928.000,45.52,-41.466398,-66.213939
273474,2020-11-30,194933.000,45.2,-41.436168,-66.11012
277128,2020-11-30,200252.000,46.84,-40.583076,-64.997917
280476,2020-11-30,201236.000,46.74,-40.582355,-64.998962
284004,2020-11-30,202250.000,42.12,-40.582817,-64.997726
287334,2020-11-30,203230.000,45.0,-40.58266,-64.997481
290898,2020-11-30,204251.000,41.95,-40.58281,-64.997509
294408,2020-11-30,205301.000,37.9,-40.582731,-64.997412
297774,2020-11-30,210247.000,35.86,-40.582933,-64.997374
301194,2020-11-30,211242.000,34.88,-40.582101,-64.99894
304650,2020-11-30,212245.000,34.07,-40.582491,-64.999084
308106,2020-11-30,213249.000,36.86,-40.583803,-64.999485
311580,2020-11-30,214253.000,37.85,-40.583519,-64.999293
315144,2020-11-30,215313.000,37.64,-40.58242,-64.997087
318546,2020-11-30,220308.000,39.22,-40.58235,-64.996964
322110,2020-11-30,221331.000,37.19,-40.582405,-64.996818
325422,2020-11-30,222308.000,33.72,-40.582272,-64.996858
328913,2020-11-30,223316.828,32.39,-40.582299,-64.996819
328914,2020-12-01,113208.000,29.63,-40.582105,-64.996773
330642,2020-12-01,113709.000,29.9,-40.5822,-64.996746
