,date,timeGMT,tempIMU_C,lat,lon
0,2020-11-29, 110703.000,17.71,-40.58338,-64.998071
3348,2020-11-29, 111724.000,25.27,-40.583064,-64.998613
6768,2020-11-29, 112720.000,22.98,-40.583061,-64.99864
10206,2020-11-29, 113722.000,24.65,-40.58301,-64.99878
13662,2020-11-29, 114725.000,23.77,-40.58304,-64.998869
17136,2020-11-29, 115727.000,22.07,-40.583035,-64.998824
20592,2020-11-29, 120729.000,31.97,-40.583005,-64.998788
24066,2020-11-29, 121732.000,35.59,-40.58298,-64.998785
27522,2020-11-29, 122734.000,38.06,-40.582976,-64.998716
31014,2020-11-29, 123739.000,39.81,-40.582997,-64.998763
34470,2020-11-29, 124741.000,41.92,-40.582998,-64.998744
37926,2020-11-29, 125741.000,40.66,-40.582976,-64.998817
41400,2020-11-29, 130744.000,40.03,-40.583029,-64.998782
44856,2020-11-29, 131746.000,43.38,-40.582977,-64.998911
48330,2020-11-29, 132748.000,43.92,-40.582965,-64.998929
51786,2020-11-29, 133751.000,44.62,-40.582962,-64.998913
55260,2020-11-29, 134756.000,43.57,-40.582927,-64.998955
58860,2020-11-29, 135822.000,36.01,-40.582984,-64.999164
62316,2020-11-29, 140821.000,33.15,-40.58298,-64.99909
65610,2020-11-29, 141755.000,29.43,-40.582973,-64.999088
69084,2020-11-29, 142757.000,42.14,-40.582886,-64.99903
72540,2020-11-29, 143759.000,43.49,-40.582863,-64.998969
76050,2020-11-29, 144808.000,38.19,-40.58297,-64.998853
79506,2020-11-29, 145810.000,29.52,-40.58298,-64.998853
82980,2020-11-29, 150812.000,27.75,-40.583,-64.998855
86472,2020-11-29, 151819.000,35.7,-40.583035,-64.998823
89928,2020-11-29, 152820.000,29.68,-40.583018,-64.9988
93366,2020-11-29, 153821.000,29.23,-40.583008,-64.998806
96894,2020-11-29, 154832.000,28.92,-40.583024,-64.998778
100332,2020-11-29, 155830.000,28.47,-40.582984,-64.998835
103842,2020-11-29, 160842.000,28.24,-40.583696,-64.997231
107262,2020-11-29, 161836.000,28.19,-40.583028,-64.998798
110718,2020-11-29, 162836.000,28.43,-40.583026,-64.998805
114120,2020-11-29, 163828.000,28.24,-40.582997,-64.998796
117594,2020-11-29, 164832.000,28.26,-40.582997,-64.998875
121068,2020-11-29, 165835.000,29.48,-40.583052,-64.998809
124560,2020-11-29, 170842.000,28.57,-40.58301,-64.998819
128088,2020-11-29, 171854.000,28.34,-40.583239,-64.998864
131598,2020-11-29, 172904.000,28.17,-40.583034,-64.998809
134910,2020-11-29, 173843.000,28.09,-40.583069,-64.998846
138384,2020-11-29, 174846.000,28.14,-40.583019,-64.998807
141840,2020-11-29, 175848.000,28.01,-40.583017,-64.99879
145350,2020-11-29, 180859.000,28.21,-40.583032,-64.998779
148806,2020-11-29, 181900.000,28.45,-40.583094,-64.998819
152280,2020-11-29, 182902.000,28.25,-40.582997,-64.998747
155754,2020-11-29, 183905.000,28.15,-40.583014,-64.998746
159210,2020-11-29, 184907.000,27.87,-40.583014,-64.998796
162684,2020-11-29, 185910.000,27.88,-40.583034,-64.998783
166140,2020-11-29, 190911.000,27.66,-40.582966,-64.998703
169650,2020-11-29, 191922.000,27.81,-40.583007,-64.998764
173070,2020-11-29, 192916.000,34.16,-40.582886,-64.999054
176526,2020-11-29, 193920.000,38.45,-40.582743,-64.998988
179982,2020-11-29, 194921.000,36.59,-40.582922,-64.99921
183492,2020-11-29, 195931.000,39.38,-40.582509,-64.998448
186966,2020-11-29, 200933.000,41.0,-40.583002,-64.998957
190350,2020-11-29, 201922.000,40.6,-40.583163,-64.998525
193842,2020-11-29, 202930.000,40.39,-40.583266,-64.998386
197316,2020-11-29, 203933.000,38.69,-40.583377,-64.998148
200790,2020-11-29, 204936.000,38.62,-40.583881,-64.998556
204246,2020-11-29, 205938.000,37.95,-40.583989,-64.998577
207720,2020-11-29, 210940.000,32.83,-40.584,-64.998639
211176,2020-11-29, 211942.000,39.23,-40.583977,-64.998598
214650,2020-11-29, 212945.000,38.58,-40.583983,-64.998613
218105,2020-11-29, 213947.828,38.14,-40.583975,-64.998582
218106,2020-11-30, 110048.000,22.14,-40.584234,-64.998703
221562,2020-11-30, 111051.000,22.19,-40.584233,-64.998712
225036,2020-11-30, 112054.000,22.77,-40.584246,-64.998721
228510,2020-11-30, 113057.000,23.62,-40.584232,-64.998712
231984,2020-11-30, 114102.000,24.23,-40.584222,-64.998699
235458,2020-11-30, 115105.000,24.74,-40.584228,-64.998704
238914,2020-11-30, 120107.000,25.21,-40.584233,-64.998695
242406,2020-11-30, 121109.000,25.8,-40.584227,-64.998697
245880,2020-11-30, 122115.000,26.4,-40.584226,-64.998702
249336,2020-11-30, 123114.000,29.91,-40.584246,-64.998636
252774,2020-11-30, 124116.000,31.15,-40.584241,-64.998628
256248,2020-11-30, 125120.000,32.8,-40.584305,-64.998644
259794,2020-11-30, 130134.000,28.18,-40.584321,-64.998596
263196,2020-11-30, 131126.000,27.15,-40.584327,-64.99861
266634,2020-11-30, 132124.000,32.76,-40.584371,-64.998586
270108,2020-11-30, 133128.000,39.06,-40.584384,-64.998505
273564,2020-11-30, 134129.000,41.5,-40.584361,-64.998462
277056,2020-11-30, 135136.000,43.69,-40.584332,-64.998528
280692,2020-11-30, 140207.000,43.05,-40.584434,-64.998745
283968,2020-11-30, 141137.000,43.84,-40.584305,-64.998748
287442,2020-11-30, 142140.000,37.55,-40.584236,-64.998706
290916,2020-11-30, 143144.000,35.06,-40.584239,-64.998707
294390,2020-11-30, 144151.000,34.18,-40.584236,-64.998701
297900,2020-11-30, 145201.000,33.83,-40.584185,-64.998672
301302,2020-11-30, 150150.000,33.71,-40.584279,-64.998701
304776,2020-11-30, 151154.000,33.39,-40.584285,-64.998697
308250,2020-11-30, 152158.000,33.67,-40.584251,-64.998706
311724,2020-11-30, 153203.000,33.68,-40.584242,-64.998708
315198,2020-11-30, 154206.000,33.84,-40.584237,-64.998716
318654,2020-11-30, 155206.000,33.83,-40.584243,-64.998709
322110,2020-11-30, 160207.000,33.87,-40.584253,-64.998706
325566,2020-11-30, 161209.000,34.08,-40.584261,-64.998706
329040,2020-11-30, 162211.000,34.19,-40.58425,-64.998711
332514,2020-11-30, 163215.000,34.39,-40.584251,-64.998709
335970,2020-11-30, 164218.000,34.29,-40.58425,-64.998711
339444,2020-11-30, 165223.000,34.35,-40.584251,-64.998711
342900,2020-11-30, 170224.000,34.42,-40.584245,-64.998715
346392,2020-11-30, 171230.000,34.64,-40.584252,-64.998722
349902,2020-11-30, 172240.000,34.72,-40.584252,-64.99871
353376,2020-11-30, 173245.000,34.76,-40.584256,-64.998718
356886,2020-11-30, 174255.000,34.83,-40.584255,-64.998699
360198,2020-11-30, 175230.000,34.62,-40.58425,-64.998702
363672,2020-11-30, 180233.000,34.53,-40.58425,-64.998706
367146,2020-11-30, 181237.000,34.59,-40.584252,-64.998699
370620,2020-11-30, 182241.000,34.56,-40.584253,-64.998703
374094,2020-11-30, 183245.000,34.54,-40.584249,-64.998698
377568,2020-11-30, 184252.000,34.5,-40.584252,-64.998696
381042,2020-11-30, 185256.000,34.47,-40.584243,-64.998706
384516,2020-11-30, 190258.000,34.47,-40.584239,-64.9987
387954,2020-11-30, 191257.000,34.39,-40.584238,-64.998698
391428,2020-11-30, 192259.000,34.49,-40.584233,-64.998694
394884,2020-11-30, 193301.000,34.37,-40.584237,-64.998695
398322,2020-11-30, 194259.000,34.27,-40.584255,-64.998696
401814,2020-11-30, 195304.000,34.29,-40.584257,-64.998698
405396,2020-11-30, 200328.000,34.38,-40.584253,-64.998705
408708,2020-11-30, 201303.000,34.13,-40.584258,-64.998713
412182,2020-11-30, 202306.000,34.04,-40.584258,-64.998716
415638,2020-11-30, 203308.000,33.96,-40.584275,-64.998716
419094,2020-11-30, 204310.000,33.92,-40.58426,-64.998717
422568,2020-11-30, 205313.000,33.76,-40.584267,-64.998725
426024,2020-11-30, 210316.000,33.64,-40.58426,-64.998714
429498,2020-11-30, 211320.000,33.66,-40.584256,-64.998717
432972,2020-11-30, 212324.000,33.51,-40.584257,-64.998716
436464,2020-11-30, 213329.000,33.52,-40.584257,-64.998713
439938,2020-11-30, 214335.000,33.44,-40.584253,-64.998718
443484,2020-11-30, 215352.000,33.42,-40.584249,-64.998731
446958,2020-11-30, 220355.000,33.3,-40.584259,-64.998713
450323,2020-11-30, 221339.828,33.08,-40.584253,-64.998705
450324,2020-12-01, 112206.000,27.81,-40.583988,-64.998628
452070,2020-12-01, 112709.000,26.84,-40.583992,-64.998637
453762,2020-12-01, 113202.000,26.94,-40.583971,-64.998654
455472,2020-12-01, 113703.000,27.15,-40.583981,-64.998598
457200,2020-12-01, 114204.000,28.03,-40.583978,-64.998653
458946,2020-12-01, 114706.000,29.59,-40.583997,-64.998631
460674,2020-12-01, 115208.000,31.54,-40.584052,-64.998682
462402,2020-12-01, 115709.000,33.24,-40.583998,-64.998646
464130,2020-12-01, 120210.000,32.18,-40.583964,-64.998619
465858,2020-12-01, 120711.000,30.93,-40.584008,-64.998709
467586,2020-12-01, 121212.000,34.52,-40.58383,-64.998583
469314,2020-12-01, 121713.000,35.53,-40.583633,-64.99833
471060,2020-12-01, 122215.000,37.14,-40.583537,-64.998265
472788,2020-12-01, 122716.000,37.18,-40.583368,-64.998064
474516,2020-12-01, 123217.000,38.39,-40.583394,-64.998113
476244,2020-12-01, 123718.000,39.22,-40.583167,-64.997861
477990,2020-12-01, 124220.000,40.37,-40.58303,-64.997761
479718,2020-12-01, 124721.000,44.43,-40.583015,-64.997766
481446,2020-12-01, 125222.000,47.88,-40.583108,-64.997865
483354,2020-12-01, 125752.000,47.93,-40.583326,-64.998105
484920,2020-12-01, 130219.000,44.72,-40.518369,-64.873258
486702,2020-12-01, 130735.000,42.45,-40.583081,-64.998572
488466,2020-12-01, 131241.000,37.62,-40.583086,-64.998572
490158,2020-12-01, 131736.000,35.76,-40.583061,-64.998557
491850,2020-12-01, 132219.000,34.58,-40.645484,-64.839642
493650,2020-12-01, 132741.000,34.3,-40.583069,-64.998572
495360,2020-12-01, 133241.000,33.89,-40.58307,-64.998556
497052,2020-12-01, 133727.000,33.73,-40.492914,-64.725171
498798,2020-12-01, 134241.000,33.47,-40.583069,-64.998554
500562,2020-12-01, 134747.000,33.58,-40.58306,-64.998573
502254,2020-12-01, 135241.000,33.72,-40.583111,-64.99848
504018,2020-12-01, 135747.000,33.71,-40.58306,-64.998565
505692,2020-12-01, 140228.000,33.73,-40.644704,-64.986802
507420,2020-12-01, 140731.000,33.74,-40.636466,-64.995767
509148,2020-12-01, 141230.000,33.87,-40.628734,-65.003679
510876,2020-12-01, 141731.000,33.99,-40.621303,-65.010695
512604,2020-12-01, 142232.000,34.28,-40.614395,-65.016638
514350,2020-12-01, 142734.000,34.46,-40.6081,-65.021359
516150,2020-12-01, 143246.000,34.68,-40.602246,-65.024955
517824,2020-12-01, 143737.000,35.19,-40.59722,-65.027635
519570,2020-12-01, 144241.000,35.48,-40.592763,-65.029428
521370,2020-12-01, 144805.000,36.04,-40.583086,-64.998527
523062,2020-12-01, 145300.000,40.59,-40.583045,-64.998682
524772,2020-12-01, 145756.000,40.57,-40.583003,-64.998743
526482,2020-12-01, 150255.000,37.75,-40.583014,-64.998847
528210,2020-12-01, 150754.000,36.54,-40.583104,-64.998791
529938,2020-12-01, 151255.000,35.91,-40.583069,-64.998832
531684,2020-12-01, 151757.000,35.41,-40.582999,-64.998851
533412,2020-12-01, 152258.000,35.16,-40.583028,-64.998836
535140,2020-12-01, 152758.000,34.86,-40.583017,-64.99881
536886,2020-12-01, 153303.000,34.55,-40.583076,-64.998801
538596,2020-12-01, 153801.000,34.34,-40.583047,-64.998856
540342,2020-12-01, 154305.000,34.31,-40.583053,-64.998859
542052,2020-12-01, 154802.000,34.17,-40.583084,-64.998875
543798,2020-12-01, 155305.000,34.17,-40.5831,-64.998852
545580,2020-12-01, 155815.000,34.25,-40.583306,-64.998988
547416,2020-12-01, 160333.000,34.44,-40.583013,-64.998814
549000,2020-12-01, 160809.000,34.58,-40.58309,-64.998684
550728,2020-12-01, 161310.000,34.28,-40.583052,-64.998772
552456,2020-12-01, 161811.000,34.14,-40.582954,-64.998832
554184,2020-12-01, 162311.000,34.15,-40.583045,-64.998757
555912,2020-12-01, 162812.000,34.24,-40.582991,-64.998732
557712,2020-12-01, 163325.000,34.23,-40.583025,-64.998502
559386,2020-12-01, 163814.000,34.32,-40.583045,-64.998864
561114,2020-12-01, 164316.000,34.21,-40.583014,-64.998703
562842,2020-12-01, 164816.000,34.22,-40.583031,-64.998861
564570,2020-12-01, 165317.000,34.22,-40.582974,-64.9988
566316,2020-12-01, 165819.000,34.15,-40.583,-64.998757
568062,2020-12-01, 170323.000,34.22,-40.583019,-64.99873
