,date,timeGMT,tempIMU_C,lat,lon
0,2020-11-29, 130809.000,25.42,-40.58471,-64.995325
360,2020-11-29, 130920.000,26.98,-40.584788,-64.995257
3834,2020-11-29, 131931.000,39.47,-40.584813,-64.995289
7308,2020-11-29, 132937.000,51.59,-40.584781,-64.99539
10764,2020-11-29, 133943.000,45.49,-40.584801,-64.99534
14238,2020-11-29, 134949.000,42.42,-40.58482,-64.995334
17712,2020-11-29, 135956.000,39.34,-40.584831,-64.995337
21258,2020-11-29, 141016.000,40.75,-40.584838,-64.995325
24678,2020-11-29, 142016.000,38.7,-40.584802,-64.995333
28152,2020-11-29, 143022.000,41.36,-40.584816,-64.995333
31716,2020-11-29, 144046.000,39.86,-40.584843,-64.995284
35136,2020-11-29, 145046.000,31.92,-40.584846,-64.995286
38574,2020-11-29, 150047.000,30.64,-40.584865,-64.995324
42012,2020-11-29, 151052.000,31.32,-40.584897,-64.995307
45576,2020-11-29, 152116.000,31.79,-40.58484,-64.995376
48996,2020-11-29, 153116.000,30.24,-40.584828,-64.99524
52416,2020-11-29, 154116.000,29.31,-40.584843,-64.995236
55908,2020-11-29, 155127.000,28.97,-40.584842,-64.99524
59454,2020-11-29, 160150.000,29.54,-40.584853,-64.99534
62856,2020-11-29, 161146.000,30.8,-40.584855,-64.995344
66258,2020-11-29, 162140.000,31.87,-40.584854,-64.995335
69912,2020-11-29, 163221.000,31.56,-40.584846,-64.995397
73170,2020-11-29, 164153.000,30.46,-40.584876,-64.995411
76788,2020-11-29, 165227.000,31.14,-40.584839,-64.995338
80082,2020-11-29, 170204.000,30.78,-40.584838,-64.9954
83538,2020-11-29, 171211.000,31.95,-40.584845,-64.995341
87156,2020-11-29, 172246.000,31.5,-40.584828,-64.995347
90594,2020-11-29, 173246.000,30.98,-40.584938,-64.995307
94176,2020-11-29, 174316.000,31.35,-40.584818,-64.995318
97470,2020-11-29, 175252.000,30.27,-40.584795,-64.995337
101196,2020-11-29, 180346.000,29.75,-40.584837,-64.99534
104454,2020-11-29, 181316.000,29.94,-40.584753,-64.99532
107874,2020-11-29, 182316.000,29.77,-40.585079,-64.995439
111330,2020-11-29, 183322.000,32.17,-40.584829,-64.995329
114894,2020-11-29, 184346.000,43.34,-40.584837,-64.995257
118386,2020-11-29, 185357.000,43.06,-40.584844,-64.99522
121662,2020-11-29, 190330.000,41.58,-40.58488,-64.995177
125118,2020-11-29, 191337.000,42.05,-40.584837,-64.995218
128574,2020-11-29, 192342.000,41.81,-40.584849,-64.995256
132210,2020-11-29, 193416.000,41.14,-40.584838,-64.995224
