,date,timeGMT,tempIMU_C,lat,lon
0,2021-01-10, 131905.000,29.31,-40.584302,-64.996016
2501,2021-01-10, 132857.764,34.89,-40.584325,-64.996024
2502,2021-01-10, 132858.000,34.85,-40.584325,-64.996024
5975,2021-01-10, 133852.829,42.96,-40.584282,-64.996071
5976,2021-01-10, 133853.000,42.91,-40.584282,-64.996071
9413,2021-01-10, 134842.829,44.96,-40.58425,-64.996373
9414,2021-01-10, 134843.000,44.9,-40.58425,-64.996373
12869,2021-01-10, 135835.827,46.25,-40.584221,-64.99641
12870,2021-01-10, 135836.000,46.21,-40.584221,-64.99641
16325,2021-01-10, 140829.832,44.01,-40.584217,-64.99641
16326,2021-01-10, 140830.000,43.95,-40.584217,-64.99641
19781,2021-01-10, 141822.827,44.45,-40.584226,-64.996392
19782,2021-01-10, 141823.000,44.41,-40.584226,-64.996392
23255,2021-01-10, 142817.829,47.47,-40.584216,-64.996415
23256,2021-01-10, 142818.000,47.43,-40.584216,-64.996415
26729,2021-01-10, 143812.829,49.2,-40.584142,-64.99644
26730,2021-01-10, 143813.000,49.17,-40.584142,-64.99644
30203,2021-01-10, 144807.829,44.54,-40.58419,-64.996453
30204,2021-01-10, 144808.000,44.5,-40.58419,-64.996453
33677,2021-01-10, 145801.832,39.14,-40.584193,-64.996451
33678,2021-01-10, 145802.000,39.08,-40.584193,-64.996451
37169,2021-01-10, 150800.830,39.18,-40.584145,-64.996439
37170,2021-01-10, 150801.000,39.13,-40.584145,-64.996439
40643,2021-01-10, 151754.831,37.73,-40.584325,-64.996528
40644,2021-01-10, 151755.000,37.68,-40.584325,-64.996528
44099,2021-01-10, 152746.828,38.51,-40.583822,-64.996381
44100,2021-01-10, 152747.000,38.45,-40.583822,-64.996381
47591,2021-01-10, 153743.830,37.17,-40.583011,-64.996293
47592,2021-01-10, 153744.000,37.11,-40.583011,-64.996293
50993,2021-01-10, 154727.830,36.4,-40.582932,-64.996123
50994,2021-01-10, 154728.000,36.35,-40.582932,-64.996123
54449,2021-01-10, 155722.829,37.72,-40.582984,-64.996263
54450,2021-01-10, 155723.000,37.67,-40.582984,-64.996263
58031,2021-01-10, 160734.827,37.9,-40.582267,-64.997366
58032,2021-01-10, 160735.000,37.85,-40.582267,-64.997366
61469,2021-01-10, 161723.830,37.6,-40.582966,-64.997072
61470,2021-01-10, 161724.000,37.54,-40.582966,-64.997072
64853,2021-01-10, 162701.828,37.14,-40.582998,-64.996881
64854,2021-01-10, 162702.000,37.09,-40.582998,-64.996881
68309,2021-01-10, 163654.827,38.76,-40.583192,-64.996689
68310,2021-01-10, 163655.000,38.72,-40.583192,-64.996689
71801,2021-01-10, 164651.830,40.33,-40.583427,-64.996489
71802,2021-01-10, 164652.000,40.27,-40.583427,-64.996489
75257,2021-01-10, 165642.827,42.06,-40.583461,-64.996297
75258,2021-01-10, 165643.000,42.02,-40.583461,-64.996297
78785,2021-01-10, 170649.826,41.08,-40.583345,-64.996287
78786,2021-01-10, 170650.000,41.02,-40.583345,-64.996287
82187,2021-01-10, 171630.827,40.72,-40.583466,-64.996046
82188,2021-01-10, 171631.000,40.67,-40.583466,-64.996046
85715,2021-01-10, 172633.827,38.16,-40.584697,-64.995867
85716,2021-01-10, 172634.000,38.11,-40.584697,-64.995867
89099,2021-01-10, 173615.827,38.39,-40.584886,-64.995757
89100,2021-01-10, 173616.000,38.34,-40.584886,-64.995757
92573,2021-01-10, 174608.828,38.39,-40.585186,-64.995651
92574,2021-01-10, 174609.000,38.34,-40.585186,-64.995651
96011,2021-01-10, 175601.827,37.66,-40.586101,-64.995624
96012,2021-01-10, 175602.000,37.62,-40.586101,-64.995624
99647,2021-01-10, 180621.829,37.43,-40.584135,-64.996386
99648,2021-01-10, 180622.000,37.37,-40.584135,-64.996386
102977,2021-01-10, 181551.826,38.06,-40.584131,-64.996372
102978,2021-01-10, 181552.000,38.0,-40.584131,-64.996372
106451,2021-01-10, 182547.826,38.55,-40.584112,-64.996393
106452,2021-01-10, 182548.000,38.5,-40.584112,-64.996393
109889,2021-01-10, 183535.827,39.05,-40.584114,-64.996389
109890,2021-01-10, 183536.000,39.0,-40.584114,-64.996389
113345,2021-01-10, 184528.827,39.61,-40.584145,-64.996402
113346,2021-01-10, 184529.000,39.56,-40.584145,-64.996402
116819,2021-01-10, 185522.832,38.92,-40.584136,-64.996371
116820,2021-01-10, 185523.000,38.87,-40.584136,-64.996371
120275,2021-01-10, 190515.827,37.98,-40.58414,-64.996416
120276,2021-01-10, 190516.000,37.93,-40.58414,-64.996416
123731,2021-01-10, 191507.827,37.3,-40.58412,-64.996412
123732,2021-01-10, 191508.000,37.25,-40.58412,-64.996412
127205,2021-01-10, 192501.832,36.65,-40.584106,-64.996431
127206,2021-01-10, 192502.000,36.6,-40.584106,-64.996431
130697,2021-01-10, 193500.830,37.29,-40.584131,-64.996394
130698,2021-01-10, 193501.000,37.23,-40.584131,-64.996394
134135,2021-01-10, 194447.828,36.94,-40.584141,-64.996462
134136,2021-01-10, 194448.000,36.88,-40.584141,-64.996462
137573,2021-01-10, 195440.827,36.57,-40.584157,-64.99647
137574,2021-01-10, 195441.000,36.52,-40.584157,-64.99647
141173,2021-01-10, 200456.831,37.4,-40.58414,-64.996256
141174,2021-01-10, 200457.000,37.35,-40.58414,-64.996256
144521,2021-01-10, 201430.826,37.85,-40.584156,-64.996183
144522,2021-01-10, 201431.000,37.82,-40.584156,-64.996183
147977,2021-01-10, 202421.827,37.34,-40.584146,-64.996277
147978,2021-01-10, 202422.000,37.29,-40.584146,-64.996277
151451,2021-01-10, 203415.832,39.38,-40.584194,-64.996305
151452,2021-01-10, 203416.000,39.33,-40.584194,-64.996305
154907,2021-01-10, 204408.827,39.55,-40.584176,-64.996495
154908,2021-01-10, 204409.000,39.5,-40.584176,-64.996495
158381,2021-01-10, 205401.828,40.54,-40.584212,-64.9964
158382,2021-01-10, 205402.000,40.48,-40.584212,-64.9964
161837,2021-01-10, 210355.828,39.27,-40.584204,-64.996545
161838,2021-01-10, 210356.000,39.21,-40.584204,-64.996545
165311,2021-01-10, 211348.828,37.55,-40.584117,-64.996456
165312,2021-01-10, 211349.000,37.5,-40.584117,-64.996456
168767,2021-01-10, 212342.828,39.81,-40.584155,-64.99639
168768,2021-01-10, 212343.000,39.77,-40.584155,-64.99639
172241,2021-01-10, 213336.831,40.47,-40.584166,-64.996273
172242,2021-01-10, 213337.000,40.42,-40.584166,-64.996273
175697,2021-01-10, 214328.827,41.68,-40.584214,-64.996125
175698,2021-01-10, 214329.000,41.63,-40.584214,-64.996125
179171,2021-01-10, 215324.831,39.94,-40.584252,-64.996152
179172,2021-01-10, 215325.000,39.88,-40.584252,-64.996152
182717,2021-01-10, 220332.826,38.04,-40.584172,-64.996272
182718,2021-01-10, 220333.000,37.98,-40.584172,-64.996272
186101,2021-01-10, 221310.828,36.89,-40.584212,-64.996315
186102,2021-01-10, 221311.000,36.85,-40.584212,-64.996315
189485,2021-01-10, 222301.823,36.42,-40.584223,-64.996275
189486,2021-01-10, 222302.000,36.38,-40.584223,-64.996275
192563,2021-01-10, 223255.806,34.18,-40.584206,-64.996314
192564,2021-01-10, 223256.000,34.15,-40.584206,-64.996314
195479,2021-01-10, 224248.798,34.57,-40.584226,-64.996319
195480,2021-01-10, 224249.000,34.54,-40.584226,-64.996319
198341,2021-01-10, 225241.794,34.36,-40.584212,-64.996362
198342,2021-01-10, 225242.000,34.32,-40.584212,-64.996362
201185,2021-01-10, 230234.790,33.89,-40.584218,-64.996315
201186,2021-01-10, 230235.000,33.85,-40.584218,-64.996315
203921,2021-01-10, 231227.783,33.44,-40.584217,-64.996334
203922,2021-01-10, 231228.000,33.39,-40.584217,-64.996334
206657,2021-01-10, 232219.782,32.99,-40.584231,-64.996337
206658,2021-01-11, 113039.000,23.28,-40.584251,-64.996553
208475,2021-01-11, 114027.676,22.59,-40.5843,-64.996595
208476,2021-01-11, 114028.000,22.59,-40.5843,-64.996595
210311,2021-01-11, 115021.676,22.59,-40.584201,-64.996342
210312,2021-01-11, 115022.000,22.58,-40.584201,-64.996342
212111,2021-01-11, 120001.679,22.43,-40.584167,-64.99625
212112,2021-01-11, 120002.000,22.44,-40.584167,-64.99625
213947,2021-01-11, 120955.676,22.78,-40.584199,-64.996403
213948,2021-01-11, 120956.000,22.78,-40.584199,-64.996403
215765,2021-01-11, 121945.674,22.61,-40.584165,-64.996348
215766,2021-01-11, 121946.000,22.61,-40.584165,-64.996348
217601,2021-01-11, 122937.678,22.59,-40.584132,-64.996206
217602,2021-01-11, 122938.000,22.58,-40.584132,-64.996206
219437,2021-01-11, 123935.673,22.64,-40.584541,-64.996358
219438,2021-01-11, 123936.000,22.64,-40.584541,-64.996358
221345,2021-01-11, 124951.675,23.82,-40.584208,-64.996345
221346,2021-01-11, 124952.000,23.82,-40.584208,-64.996345
223109,2021-01-11, 125920.678,24.86,-40.584218,-64.996338
223110,2021-01-11, 125921.000,24.85,-40.584218,-64.996338
224927,2021-01-11, 130912.675,25.59,-40.584218,-64.996331
224928,2021-01-11, 130913.000,25.59,-40.584218,-64.996331
226763,2021-01-11, 131904.678,25.98,-40.584214,-64.996342
226764,2021-01-11, 131905.000,25.98,-40.584214,-64.996342
228599,2021-01-11, 132858.676,26.61,-40.584225,-64.996341
228600,2021-01-11, 132859.000,26.61,-40.584225,-64.996341
230417,2021-01-11, 133850.675,26.89,-40.584221,-64.996334
230418,2021-01-11, 133851.000,26.89,-40.584221,-64.996334
232253,2021-01-11, 134841.678,27.68,-40.584229,-64.996337
232254,2021-01-11, 134842.000,27.69,-40.584229,-64.996337
234197,2021-01-11, 135835.696,28.27,-40.584225,-64.996341
234198,2021-01-11, 135836.000,28.24,-40.584225,-64.996341
236627,2021-01-11, 140827.757,28.23,-40.584222,-64.996348
236628,2021-01-11, 140828.000,28.21,-40.584222,-64.996348
239165,2021-01-11, 141823.768,38.6,-40.584216,-64.996355
239166,2021-01-11, 141824.000,38.56,-40.584216,-64.996355
242621,2021-01-11, 142813.831,53.83,-40.584181,-64.996324
242622,2021-01-11, 142814.000,53.79,-40.584181,-64.996324
246077,2021-01-11, 143808.829,56.53,-40.584215,-64.996345
246078,2021-01-11, 143809.000,56.47,-40.584215,-64.996345
249533,2021-01-11, 144801.827,48.63,-40.584238,-64.996337
249534,2021-01-11, 144802.000,48.6,-40.584238,-64.996337
253007,2021-01-11, 145756.829,48.1,-40.584219,-64.996251
253008,2021-01-11, 145757.000,48.04,-40.584219,-64.996251
256463,2021-01-11, 150749.827,39.8,-40.584247,-64.996156
256464,2021-01-11, 150750.000,39.74,-40.584247,-64.996156
259937,2021-01-11, 151744.829,47.09,-40.584141,-64.996222
259938,2021-01-11, 151745.000,47.04,-40.584141,-64.996222
263411,2021-01-11, 152740.826,46.29,-40.58424,-64.996011
263412,2021-01-11, 152741.000,46.25,-40.58424,-64.996011
266867,2021-01-11, 153732.828,50.14,-40.584206,-64.995774
266868,2021-01-11, 153733.000,50.09,-40.584206,-64.995774
270359,2021-01-11, 154729.830,45.38,-40.584145,-64.995562
270360,2021-01-11, 154730.000,45.32,-40.584145,-64.995562
273815,2021-01-11, 155721.827,45.19,-40.584151,-64.995329
273816,2021-01-11, 155722.000,45.15,-40.584151,-64.995329
277379,2021-01-11, 160732.828,38.42,-40.584101,-64.995308
277380,2021-01-11, 160733.000,38.36,-40.584101,-64.995308
280727,2021-01-11, 161707.829,37.45,-40.584133,-64.995315
280728,2021-01-11, 161708.000,37.39,-40.584133,-64.995315
284039,2021-01-11, 162711.815,33.1,-40.5843,-64.995302
284040,2021-01-11, 162712.000,33.07,-40.5843,-64.995302
286685,2021-01-11, 163655.780,32.44,-40.584249,-64.995339
286686,2021-01-11, 163656.000,32.41,-40.584249,-64.995339
289637,2021-01-11, 164645.799,41.15,-40.584176,-64.995285
289638,2021-01-11, 164646.000,41.08,-40.584176,-64.995285
293111,2021-01-11, 165639.831,42.42,-40.584085,-64.995258
