10/1/2021;11:02:00;1;sol, caminando activa
10/1/2021;13:38:00;0;
10/1/2021;20:11:00;0;refugio bajo mata enorme
11/1/2021;9:50:00;0;refugiada
12/1/2021;8:45:00;0;afuera del refugio, pero debajo de ramas
12/1/2021;12:31:00;0;Bajo misma mata gigante en la cuevita junto al macho 54
12/1/2021;20:15:00;0;Bajo misma mata gigante en la cuevita junto al macho 54
13/1/2021;9:00:00;0;Bajo misma mata gigante  junto al macho 54
13/1/2021;9:25:00;0;Bajo misma mata gigante  junto al macho 55. pero ya por salir, al sol con el macho detras de la hembra.
13/1/2021;9:55:00;0;activa al sol, bajo arbusto
13/1/2021;12:13:00;0;bajo mata cebo a la sombra activo
13/1/2021;20:27:00;0;Bajo misma mata gigante de la noche anterior
14/1/2021;8:03:00;1;activa, caminando como a 50 mt del refugio de la noche anterior a la sombra
14/1/2021;20:04:00;0;inactiva refugiada bajo coirones y molle
15/1/2021;8:15:00;0;al sol activa a 2 mt del ref anterior
15/1/2021;10:50:00;0;activa, quieta al sol 
15/1/2021;20:50:00;0;Inactiva bajo la misma mata gigante imposible de sacar
16/1/2021;15:04:00;1;activa, caminado al sol al lado del camino cerca de una charca
