11/1/2021;8:15:00;0;inactivo
11/1/2021;14:35:00;0;inactiva refugio de tierra
12/1/2021;12:48:00;0;refugiado bajo arbusto
13/1/2021;7:37:00;0;activo al lado de coiron
13/1/2021;11:45:00;0;bajo mata cebo a la sombra activo
13/1/2021;20:02:00;0;inactivo bajo piquillin
14/1/2021;7:49:00;0;activo a 10 m del refugio. Cerca de la charca. Activo, quieto entre coirones
14/1/2021;19:39:00;0;en refugio d etierra con el culo afuera
15/1/2021;8:02:00;0;mismo refugio dela noche anterior 
15/1/2021;9:35:00;0;activo, quieto, media sombra al costado del camino
15/1/2021;11:10:00;0;inactivo bajo oiron y jarilla
15/1/2021;20:24:00;0;inactivo, bajo piquillin
