21/11/2021;9:23:00;0;activas quietas al sol junto a T185 bajo coiron
21/11/2021;12:40:00;0;inactiva en refugio
21/11/2021;19:42:00;0;hilo refugio bajo coiron
23/11/2021;8:24:00;1;recien salida del refugio 3mts (WPrefugio212 GPS de Fer)
23/11/2021;8:26:00;0;
23/11/2021;8:29:00;1;se mueve nuevamente hasta 8:31
23/11/2021;8:31:00;0;
23/11/2021;9:40:00;0;sigue quieta en WP212 a 2 mts. Hay viento.
23/11/2021;20:15:00;0;mismo refugio que dia anterior. No tenia hilo, le pusieron uno nuevo.
24/11/2021;7:38:00;0;activo a 1,5mts del refugio tomando sol quieto
24/11/2021;10:00:00;0;sigue quieto a unos metros del refugio bajo una mata a la sombra
24/11/2021;11:00:00;7;se manipula para sacarle sangre (tirar datos entre 11hs y 11,15hs)
24/11/2021;20:42:00;0;mismo refugio que ayer saco tortugometro encendido, pongo hilo nuevo,
25/11/2021;7:43:00;1;OBSERVA LEO. Activa a 5mts del refugio caminando
25/11/2021;8:41:00;1;paso una lomadita
25/11/2021;8:42:00;0;se mete en refugio y se queda quieta
25/11/2021;9:15:00;3;comiendo en camino de tierra al sol (dudoso) a veces la tortuga escuchaba handi del observador y giraba su cabeza para escuchar
26/11/2021;7:31:00;0;se coloca tortugometro Activo bajo coirones
