,date,timeGMT,tempIMU_C,lat,lon
0,2021-11-21,113004.000,29.57,-40.584747,-65.002521
2789,2021-11-21,114023.776,33.7,-40.584495,-64.998711
2790,2021-11-21,114024.000,33.68,-40.584495,-64.998711
6047,2021-11-21,115018.819,36.39,-40.584432,-64.998752
6048,2021-11-21,115019.000,36.33,-40.584432,-64.998752
9269,2021-11-21,115958.818,39.53,-40.584452,-64.99875
9270,2021-11-21,115959.000,39.47,-40.584452,-64.99875
12689,2021-11-21,120955.830,42.86,-40.58441,-64.999006
12690,2021-11-21,120956.000,42.82,-40.58441,-64.999006
16145,2021-11-21,121947.828,43.29,-40.584421,-64.999304
16146,2021-11-21,121948.000,43.25,-40.584421,-64.999304
19745,2021-11-21,123003.831,44.05,-40.584464,-64.99977
19746,2021-11-21,123004.000,44.0,-40.584464,-64.99977
23057,2021-11-21,123933.826,44.96,-40.584503,-64.999931
23058,2021-11-21,123934.000,44.92,-40.584503,-64.999931
26531,2021-11-21,124926.828,45.17,-40.584516,-65.000371
26532,2021-11-21,124927.000,45.12,-40.584516,-65.000371
29987,2021-11-21,125921.829,46.81,-40.584523,-65.000731
29988,2021-11-21,125922.000,46.75,-40.584523,-65.000731
33461,2021-11-21,130914.828,43.68,-40.584494,-65.000681
33462,2021-11-21,130915.000,43.64,-40.584494,-65.000681
36935,2021-11-21,131911.829,47.53,-40.584607,-65.000467
36936,2021-11-21,131912.000,47.47,-40.584607,-65.000467
40391,2021-11-21,132902.827,50.28,-40.584577,-65.000214
40392,2021-11-21,132903.000,50.24,-40.584577,-65.000214
43865,2021-11-21,133859.829,48.19,-40.584532,-64.999985
43866,2021-11-21,133900.000,48.15,-40.584532,-64.999985
47321,2021-11-21,134852.827,44.09,-40.584465,-64.99973
47322,2021-11-21,134853.000,44.04,-40.584465,-64.99973
50813,2021-11-21,135849.830,40.77,-40.584444,-64.999639
50814,2021-11-21,135853.077,40.69,-40.584444,-64.999639
54305,2021-11-21,140849.830,38.7,-40.584465,-64.999659
54306,2021-11-21,140850.000,38.65,-40.584465,-64.999659
57725,2021-11-21,141836.829,40.14,-40.584441,-64.999631
57726,2021-11-21,141837.000,40.09,-40.584441,-64.999631
61217,2021-11-21,142833.830,41.07,-40.584459,-64.999641
61218,2021-11-21,142834.000,41.02,-40.584459,-64.999641
64673,2021-11-21,143826.827,39.98,-40.584477,-64.999646
64674,2021-11-21,143827.000,39.93,-40.584477,-64.999646
68183,2021-11-21,144826.830,40.12,-40.584427,-64.999629
