,date,timeGMT,tempIMU_C,lat,lon
0,2021-11-21,104731.000,27.82,-40.586281,-65.00271
486,2021-11-21,105003.000,27.59,-40.586319,-65.002726
5723,2021-11-21,110518.827,33.67,-40.586191,-65.002024
5724,2021-11-21,110519.000,33.61,-40.586191,-65.002024
7451,2021-11-21,111023.826,28.37,-40.586171,-65.002015
7452,2021-11-21,111024.000,28.32,-40.586171,-65.002015
11069,2021-11-21,112052.829,25.51,-40.586117,-65.001972
11070,2021-11-21,112053.000,25.46,-40.586117,-65.001972
14381,2021-11-21,113031.826,24.71,-40.586174,-65.002011
14382,2021-11-21,113032.000,24.66,-40.586174,-65.002011
17837,2021-11-21,114034.827,24.74,-40.586159,-65.001995
17838,2021-11-21,114035.000,24.69,-40.586159,-65.001995
21311,2021-11-21,115040.825,25.83,-40.586163,-65.002003
21312,2021-11-21,115041.000,25.78,-40.586163,-65.002003
24803,2021-11-21,120047.824,26.99,-40.586206,-65.002001
24804,2021-11-21,120048.000,26.94,-40.586206,-65.002001
28277,2021-11-21,121055.825,27.82,-40.586177,-65.002001
28278,2021-11-21,121056.000,27.77,-40.586177,-65.002001
31877,2021-11-21,122121.827,28.8,-40.586154,-65.002004
31878,2021-11-21,122122.000,28.75,-40.586154,-65.002004
35153,2021-11-21,123055.824,29.64,-40.586161,-65.002015
35154,2021-11-21,123056.000,29.59,-40.586161,-65.002015
38609,2021-11-21,124059.828,31.8,-40.586154,-65.002008
38610,2021-11-21,124100.000,31.74,-40.586154,-65.002008
42083,2021-11-21,125104.828,33.27,-40.586176,-65.002007
42084,2021-11-21,125105.000,33.22,-40.586176,-65.002007
45539,2021-11-21,130107.827,34.22,-40.586164,-65.001998
45540,2021-11-21,130108.000,34.17,-40.586164,-65.001998
49013,2021-11-21,131112.828,35.76,-40.586152,-65.002
49014,2021-11-21,131113.000,35.7,-40.586152,-65.002
52469,2021-11-21,132115.827,36.94,-40.58617,-65.002005
52470,2021-11-21,132116.000,36.88,-40.58617,-65.002005
55943,2021-11-21,133121.825,34.8,-40.586163,-65.002007
55944,2021-11-21,133122.000,34.75,-40.586163,-65.002007
59399,2021-11-21,134123.828,35.29,-40.58616,-65.001995
59400,2021-11-21,134124.000,35.25,-40.58616,-65.001995
62927,2021-11-21,135138.827,36.27,-40.58616,-65.002004
62928,2021-11-21,135139.000,36.21,-40.58616,-65.002004
66347,2021-11-21,140133.827,37.05,-40.586166,-65.002008
66348,2021-11-21,140134.000,37.0,-40.586166,-65.002008
69839,2021-11-21,141141.823,37.24,-40.586175,-65.001997
69840,2021-11-21,141142.000,37.19,-40.586175,-65.001997
73295,2021-11-21,142143.828,41.74,-40.58618,-65.001845
73296,2021-11-21,142144.000,41.71,-40.58618,-65.001845
76751,2021-11-21,143147.825,38.04,-40.586186,-65.002066
76752,2021-11-21,143148.000,37.99,-40.586186,-65.002066
80243,2021-11-21,144155.823,37.61,-40.586156,-65.002007
80244,2021-11-21,144156.000,37.55,-40.586156,-65.002007
83717,2021-11-21,145201.825,37.83,-40.586171,-65.001985
83718,2021-11-21,145202.000,37.78,-40.586171,-65.001985
87155,2021-11-21,150200.825,38.31,-40.586168,-65.001995
87156,2021-11-21,150201.000,38.26,-40.586168,-65.001995
90683,2021-11-21,151215.827,38.68,-40.586183,-65.001973
90684,2021-11-21,151216.000,38.64,-40.586183,-65.001973
94211,2021-11-21,152229.828,39.33,-40.586181,-65.002009
94212,2021-11-21,152230.000,39.28,-40.586181,-65.002009
97523,2021-11-21,153205.825,38.36,-40.586171,-65.002016
97524,2021-11-21,153206.000,38.31,-40.586171,-65.002016
101105,2021-11-21,154230.827,38.62,-40.586153,-65.00203
101106,2021-11-21,154231.000,38.58,-40.586153,-65.00203
104453,2021-11-21,155212.828,39.67,-40.586184,-65.00201
104454,2021-11-21,155213.000,39.62,-40.586184,-65.00201
107909,2021-11-21,160215.827,39.83,-40.586177,-65.002012
107910,2021-11-21,160216.000,39.79,-40.586177,-65.002012
111383,2021-11-21,161220.828,39.36,-40.586194,-65.002009
