,date,timeGMT,tempIMU_C,lat,lon
0,2021-11-21,115726.000,33.94,-40.585924,-64.999622
2412,2021-11-21,120729.000,32.44,-40.585359,-64.996027
6137,2021-11-21,121817.828,33.8,-40.585269,-64.996087
6138,2021-11-21,121818.000,33.77,-40.585269,-64.996087
9377,2021-11-21,122755.828,42.47,-40.58538,-64.996097
9378,2021-11-21,122756.000,42.43,-40.58538,-64.996097
12887,2021-11-21,123803.825,47.77,-40.585398,-64.99608
12888,2021-11-21,123804.000,47.73,-40.585398,-64.99608
16253,2021-11-21,124748.828,46.08,-40.585372,-64.996116
16254,2021-11-21,124749.000,46.05,-40.585372,-64.996116
19709,2021-11-21,125749.827,51.05,-40.585396,-64.996086
19710,2021-11-21,125750.000,51.01,-40.585396,-64.996086
23183,2021-11-21,130753.825,48.68,-40.585389,-64.996088
23184,2021-11-21,130754.000,48.64,-40.585389,-64.996088
26675,2021-11-21,131758.826,46.09,-40.58538,-64.996084
26676,2021-11-21,131759.000,46.04,-40.58538,-64.996084
30149,2021-11-21,132804.825,43.24,-40.585288,-64.996139
30150,2021-11-21,132805.000,43.2,-40.585288,-64.996139
33587,2021-11-21,133802.827,52.63,-40.58539,-64.996077
33588,2021-11-21,133803.000,52.59,-40.58539,-64.996077
37079,2021-11-21,134809.824,45.44,-40.585405,-64.996074
37080,2021-11-21,134810.000,45.39,-40.585405,-64.996074
40517,2021-11-21,135805.825,42.53,-40.58542,-64.996064
40518,2021-11-21,135806.000,42.49,-40.58542,-64.996064
44027,2021-11-21,140814.825,41.48,-40.585395,-64.996071
44028,2021-11-21,140815.000,41.44,-40.585395,-64.996071
47501,2021-11-21,141819.828,40.58,-40.585386,-64.996072
47502,2021-11-21,141820.000,40.54,-40.585386,-64.996072
50921,2021-11-21,142817.827,42.21,-40.585401,-64.996071
50922,2021-11-21,142818.000,42.17,-40.585401,-64.996071
54395,2021-11-21,143821.825,42.46,-40.5854,-64.996072
54396,2021-11-21,143822.000,42.41,-40.5854,-64.996072
57869,2021-11-21,144824.828,41.89,-40.585391,-64.996069
57870,2021-11-21,144825.000,41.84,-40.585391,-64.996069
61343,2021-11-21,145827.828,42.19,-40.585408,-64.996079
61344,2021-11-21,145828.000,42.14,-40.585408,-64.996079
64763,2021-11-21,150823.828,41.12,-40.58539,-64.996062
64764,2021-11-21,150824.000,41.08,-40.58539,-64.996062
68237,2021-11-21,151826.828,41.28,-40.58542,-64.996062
68238,2021-11-21,151827.000,41.22,-40.58542,-64.996062
71747,2021-11-21,152837.823,41.07,-40.585401,-64.996074
71748,2021-11-21,152838.000,41.02,-40.585401,-64.996074
75203,2021-11-21,153837.825,40.99,-40.585406,-64.996065
75204,2021-11-21,153838.000,40.96,-40.585406,-64.996065
78803,2021-11-21,154902.825,42.78,-40.58538,-64.996089
78804,2021-11-21,154903.000,42.74,-40.58538,-64.996089
82097,2021-11-21,155836.824,45.35,-40.585375,-64.996089
82098,2021-11-21,155837.000,45.3,-40.585375,-64.996089
85553,2021-11-21,160837.827,47.38,-40.585381,-64.996088
85554,2021-11-21,160838.000,47.33,-40.585381,-64.996088
89009,2021-11-21,161836.826,45.57,-40.585397,-64.996082
89010,2021-11-21,161837.000,45.51,-40.585397,-64.996082
92501,2021-11-21,162845.825,42.88,-40.585396,-64.996085
92502,2021-11-21,162846.000,42.85,-40.585396,-64.996085
96029,2021-11-21,163859.828,44.66,-40.585392,-64.99608
96030,2021-11-21,163900.000,44.61,-40.585392,-64.99608
99485,2021-11-21,164901.828,43.67,-40.5854,-64.996091
99486,2021-11-21,164902.000,43.62,-40.5854,-64.996091
102941,2021-11-21,165900.826,40.75,-40.585406,-64.996081
102942,2021-11-21,165901.000,40.7,-40.585406,-64.996081
106415,2021-11-21,170903.828,40.3,-40.585408,-64.996079
106416,2021-11-21,170904.000,40.26,-40.585408,-64.996079
109781,2021-11-21,171849.827,41.19,-40.585415,-64.996091
109782,2021-11-21,171850.000,41.15,-40.585415,-64.996091
113237,2021-11-21,172851.828,41.33,-40.585412,-64.996083
113238,2021-11-21,172852.000,41.28,-40.585412,-64.996083
