,date,timeGMT,tempIMU_C,lat,lon
0,2021-09-24,133135.000,30.6,-40.585222,-64.992533
2879,2021-09-24,134145.790,33.89,-40.585198,-64.992545
2880,2021-09-24,134146.000,33.85,-40.585198,-64.992545
6191,2021-09-24,135140.819,36.99,-40.585156,-64.99252
6192,2021-09-24,135141.000,36.93,-40.585156,-64.99252
9647,2021-09-24,140132.828,44.75,-40.585131,-64.992539
9648,2021-09-24,140133.000,44.7,-40.585131,-64.992539
13067,2021-09-24,141121.831,46.43,-40.585128,-64.992523
13068,2021-09-24,141122.000,46.37,-40.585128,-64.992523
16541,2021-09-24,142118.829,44.38,-40.585132,-64.992539
16542,2021-09-24,142119.000,44.33,-40.585132,-64.992539
20015,2021-09-24,143113.829,43.94,-40.585127,-64.992531
20016,2021-09-24,143114.000,43.89,-40.585127,-64.992531
23489,2021-09-24,144109.826,43.19,-40.585124,-64.992522
23490,2021-09-24,144110.000,43.14,-40.585124,-64.992522
26963,2021-09-24,145106.830,43.93,-40.585123,-64.992521
26964,2021-09-24,145107.000,43.88,-40.585123,-64.992521
30419,2021-09-24,150059.827,43.78,-40.585124,-64.992515
30420,2021-09-24,150100.000,43.73,-40.585124,-64.992515
33947,2021-09-24,151102.827,44.64,-40.585118,-64.992521
33948,2021-09-24,151103.000,44.6,-40.585118,-64.992521
37421,2021-09-24,152100.826,39.22,-40.58507,-64.99253
37422,2021-09-24,152101.000,39.18,-40.58507,-64.99253
40895,2021-09-24,153055.829,44.96,-40.585029,-64.992478
40896,2021-09-24,153056.000,44.9,-40.585029,-64.992478
44369,2021-09-24,154051.826,43.69,-40.58506,-64.992441
44370,2021-09-24,154052.000,43.64,-40.58506,-64.992441
47699,2021-09-24,155022.827,40.64,-40.585094,-64.992321
47700,2021-09-24,155023.000,40.58,-40.585094,-64.992321
51191,2021-09-24,160019.830,37.31,-40.585112,-64.992302
51192,2021-09-24,160020.000,37.26,-40.585112,-64.992302
54665,2021-09-24,161020.829,36.07,-40.585113,-64.992312
54666,2021-09-24,161021.000,36.03,-40.585113,-64.992312
58067,2021-09-24,162008.829,36.39,-40.585112,-64.992294
58068,2021-09-24,162009.000,36.35,-40.585112,-64.992294
61523,2021-09-24,163000.827,36.4,-40.585104,-64.992304
61524,2021-09-24,163001.000,36.35,-40.585104,-64.992304
64997,2021-09-24,163955.829,36.85,-40.585116,-64.992299
64998,2021-09-24,163956.000,36.79,-40.585116,-64.992299
68471,2021-09-24,164952.830,37.03,-40.585108,-64.992299
68472,2021-09-24,164953.000,36.98,-40.585108,-64.992299
71981,2021-09-24,165953.830,37.45,-40.585098,-64.992301
71982,2021-09-24,165954.000,37.41,-40.585098,-64.992301
75455,2021-09-24,170948.829,37.84,-40.585106,-64.992292
75456,2021-09-24,170949.000,37.79,-40.585106,-64.992292
78875,2021-09-24,171934.828,38.27,-40.585106,-64.992279
78876,2021-09-24,171935.000,38.22,-40.585106,-64.992279
82313,2021-09-24,172923.830,38.81,-40.585102,-64.992305
82314,2021-09-24,172924.000,38.76,-40.585102,-64.992305
85787,2021-09-24,173916.828,39.4,-40.585103,-64.992307
85788,2021-09-24,173917.000,39.35,-40.585103,-64.992307
89225,2021-09-24,174907.827,39.7,-40.585105,-64.992299
89226,2021-09-24,174908.000,39.65,-40.585105,-64.992299
92717,2021-09-24,175903.831,39.93,-40.585102,-64.992303
92718,2021-09-24,175904.000,39.88,-40.585102,-64.992303
96173,2021-09-24,180857.828,38.43,-40.585098,-64.9923
96174,2021-09-24,180858.000,38.38,-40.585098,-64.9923
