,date,timeGMT,tempIMU_C,lat,lon
0,2021-09-20,201904.000,26.18,-41.133733,-71.264432
3491,2021-09-20,202917.828,23.31,-41.13375,-71.264459
3492,2021-09-20,202918.000,23.27,-41.13375,-71.264459
6965,2021-09-20,203920.828,22.37,-41.133728,-71.264459
6966,2021-09-20,203921.000,22.33,-41.133728,-71.264459
10439,2021-09-20,204925.828,20.59,-41.133737,-71.264467
10440,2021-09-20,204926.000,20.55,-41.133737,-71.264467
13895,2021-09-20,205925.825,19.9,-41.133734,-71.264446
13896,2021-09-20,205926.000,19.86,-41.133734,-71.264446
17333,2021-09-20,210928.827,19.79,-41.133743,-71.264428
17334,2021-09-20,210929.000,19.74,-41.133743,-71.264428
20789,2021-09-20,211930.828,18.89,-41.13374,-71.264442
20790,2021-09-20,211931.000,18.86,-41.13374,-71.264442
24263,2021-09-20,212935.828,16.24,-41.13373,-71.26446
24264,2021-09-20,212936.000,16.2,-41.13373,-71.26446
27737,2021-09-20,213939.825,15.18,-41.133688,-71.26442
27738,2021-09-24,150019.000,36.02,-40.5844,-64.999957
31229,2021-09-24,151023.826,42.91,-40.584447,-65.000047
31230,2021-09-24,151024.000,42.86,-40.584447,-65.000047
34667,2021-09-24,152021.827,44.52,-40.584496,-65.000136
34668,2021-09-24,152022.000,44.48,-40.584496,-65.000136
38177,2021-09-24,153031.828,45.12,-40.584506,-65.000256
38178,2021-09-24,153032.000,45.08,-40.584506,-65.000256
41651,2021-09-24,154034.828,46.44,-40.584523,-65.000297
41652,2021-09-24,154035.000,46.39,-40.584523,-65.000297
45089,2021-09-24,155033.825,46.87,-40.584514,-65.000462
45090,2021-09-24,155034.000,46.82,-40.584514,-65.000462
48599,2021-09-24,160042.825,46.34,-40.584473,-65.000525
48600,2021-09-24,160043.000,46.29,-40.584473,-65.000525
52001,2021-09-24,161037.827,46.03,-40.58447,-65.000518
52002,2021-09-24,161038.000,45.99,-40.58447,-65.000518
55493,2021-09-24,162043.825,45.76,-40.584469,-65.000503
55494,2021-09-24,162044.000,45.71,-40.584469,-65.000503
58967,2021-09-24,163047.825,47.26,-40.584463,-65.00052
58968,2021-09-24,163048.000,47.2,-40.584463,-65.00052
62459,2021-09-24,164054.824,40.96,-40.584477,-65.00052
62460,2021-09-24,164055.000,40.92,-40.584477,-65.00052
65969,2021-09-24,165103.825,38.89,-40.584499,-65.00052
65970,2021-09-24,165104.000,38.85,-40.584499,-65.00052
69317,2021-09-24,170045.828,37.84,-40.58447,-65.000512
69318,2021-09-24,170046.000,37.78,-40.58447,-65.000512
72773,2021-09-24,171046.827,37.19,-40.584457,-65.000515
72774,2021-09-24,171047.000,37.14,-40.584457,-65.000515
76265,2021-09-24,172052.825,36.79,-40.584449,-65.000545
76266,2021-09-24,172053.000,36.74,-40.584449,-65.000545
79739,2021-09-24,173058.825,36.44,-40.584471,-65.000518
79740,2021-09-24,173059.000,36.39,-40.584471,-65.000518
83213,2021-09-24,174102.825,36.42,-40.584449,-65.000518
83214,2021-09-24,174103.000,36.38,-40.584449,-65.000518
86669,2021-09-24,175101.826,36.16,-40.584481,-65.000534
86670,2021-09-24,175102.000,36.11,-40.584481,-65.000534
90143,2021-09-24,180105.825,35.73,-40.584467,-65.000534
90144,2021-09-24,180106.000,35.69,-40.584467,-65.000534
93599,2021-09-24,181109.825,35.23,-40.584455,-65.000526
93600,2021-09-24,181110.000,35.18,-40.584455,-65.000526
97091,2021-09-24,182115.825,34.86,-40.584475,-65.000531
97092,2021-09-24,182116.000,34.81,-40.584475,-65.000531
100493,2021-09-24,183108.824,34.5,-40.584469,-65.000531
100494,2021-09-24,183109.000,34.44,-40.584469,-65.000531
104003,2021-09-24,184117.825,34.1,-40.584461,-65.000518
104004,2021-09-24,184118.000,34.06,-40.584461,-65.000518
107477,2021-09-24,185122.828,33.77,-40.58445,-65.000505
107478,2021-09-24,185123.000,33.72,-40.58445,-65.000505
110987,2021-09-24,190131.825,33.6,-40.584461,-65.0005
110988,2021-09-24,190132.000,33.56,-40.584461,-65.0005
114443,2021-09-24,191133.828,33.34,-40.584468,-65.000495
114444,2021-09-24,191134.000,33.3,-40.584468,-65.000495
117827,2021-09-24,192120.825,33.12,-40.58446,-65.000523
117828,2021-09-24,192121.000,33.08,-40.58446,-65.000523
121319,2021-09-24,193126.825,32.66,-40.584469,-65.000527
121320,2021-09-24,193127.000,32.62,-40.584469,-65.000527
124775,2021-09-24,194129.827,32.32,-40.58447,-65.00053
124776,2021-09-24,194130.000,32.27,-40.58447,-65.00053
128249,2021-09-24,195132.828,32.07,-40.584463,-65.00052
128250,2021-09-24,195133.000,32.02,-40.584463,-65.00052
131705,2021-09-24,200134.828,31.74,-40.58446,-65.000518
131706,2021-09-24,200135.000,31.7,-40.58446,-65.000518
135161,2021-09-24,201138.825,31.42,-40.584457,-65.000524
135162,2021-09-24,201139.000,31.38,-40.584457,-65.000524
138635,2021-09-24,202140.825,31.17,-40.584454,-65.000542
138636,2021-09-24,202141.000,31.12,-40.584454,-65.000542
142109,2021-09-24,203145.828,30.97,-40.584449,-65.000513
142110,2021-09-24,203146.000,30.93,-40.584449,-65.000513
145565,2021-09-24,204145.825,30.63,-40.584443,-65.00053
145566,2021-09-24,204146.000,30.59,-40.584443,-65.00053
149039,2021-09-24,205151.825,30.39,-40.58446,-65.000517
149040,2021-09-25,123705.000,20.67,-40.584497,-65.000525
152531,2021-09-25,124716.827,24.37,-40.584457,-65.000529
152532,2021-09-25,124717.000,24.32,-40.584457,-65.000529
156005,2021-09-25,125720.825,25.26,-40.584463,-65.000519
156006,2021-09-25,125721.000,25.22,-40.584463,-65.000519
159479,2021-09-25,130724.825,28.07,-40.584441,-65.000527
159480,2021-09-25,130725.000,28.03,-40.584441,-65.000527
162971,2021-09-25,131730.825,29.17,-40.584453,-65.000529
162972,2021-09-25,131731.000,29.14,-40.584453,-65.000529
166409,2021-09-25,132731.827,34.55,-40.58446,-65.00056
166410,2021-09-25,132732.000,34.49,-40.58446,-65.00056
169901,2021-09-25,133736.826,39.14,-40.584449,-65.000578
169902,2021-09-25,133737.000,39.1,-40.584449,-65.000578
173375,2021-09-25,134743.824,37.84,-40.584437,-65.000598
173376,2021-09-25,134744.000,37.79,-40.584437,-65.000598
176885,2021-09-25,135753.828,41.92,-40.584432,-65.000597
176886,2021-09-25,135754.000,41.87,-40.584432,-65.000597
180395,2021-09-25,140803.828,43.74,-40.584448,-65.00059
180396,2021-09-25,140804.000,43.69,-40.584448,-65.00059
183725,2021-09-25,141742.826,44.52,-40.58445,-65.000595
183726,2021-09-25,141743.000,44.47,-40.58445,-65.000595
187181,2021-09-25,142744.828,45.5,-40.584436,-65.000593
187182,2021-09-25,142745.000,45.47,-40.584436,-65.000593
190673,2021-09-25,143750.825,46.47,-40.584435,-65.000586
190674,2021-09-25,143751.000,46.43,-40.584435,-65.000586
194129,2021-09-25,144752.828,45.82,-40.584431,-65.000582
194130,2021-09-25,144753.000,45.77,-40.584431,-65.000582
