,date,timeGMT,tempIMU_C,lat,lon
0,2021-09-24,120311.000,19.26,-40.584065,-64.995367
3545,2021-09-24,121330.828,37.09,-40.584088,-64.995379
3546,2021-09-24,121331.000,37.05,-40.584088,-64.995379
7055,2021-09-24,122340.828,40.98,-40.584085,-64.995389
7056,2021-09-24,122341.000,40.94,-40.584085,-64.995389
10601,2021-09-24,123357.828,43.28,-40.584116,-64.995379
10602,2021-09-24,123358.000,43.25,-40.584116,-64.995379
13913,2021-09-24,124333.825,45.96,-40.584085,-64.995378
13914,2021-09-24,124334.000,45.92,-40.584085,-64.995378
17405,2021-09-24,125340.824,48.12,-40.584045,-64.995252
17406,2021-09-24,125341.000,48.07,-40.584045,-64.995252
20897,2021-09-24,130343.826,48.7,-40.584063,-64.995348
20898,2021-09-24,130344.000,48.64,-40.584063,-64.995348
24335,2021-09-24,131341.827,49.89,-40.584084,-64.995359
24336,2021-09-24,131342.000,49.85,-40.584084,-64.995359
27809,2021-09-24,132343.825,50.58,-40.584087,-64.995359
27810,2021-09-24,132344.000,50.54,-40.584087,-64.995359
31283,2021-09-24,133347.825,51.31,-40.584091,-64.995351
31284,2021-09-24,133348.000,51.26,-40.584091,-64.995351
34757,2021-09-24,134351.825,53.02,-40.584095,-64.995363
34758,2021-09-24,134352.000,52.99,-40.584095,-64.995363
38195,2021-09-24,135354.827,53.44,-40.584094,-64.995367
38196,2021-09-24,135355.000,53.42,-40.584094,-64.995367
41651,2021-09-24,140354.825,54.21,-40.584091,-64.995384
41652,2021-09-24,140355.000,54.17,-40.584091,-64.995384
45125,2021-09-24,141358.825,54.53,-40.584091,-64.995372
45126,2021-09-24,141359.000,54.49,-40.584091,-64.995372
48581,2021-09-24,142359.827,53.76,-40.584087,-64.995372
48582,2021-09-24,142400.000,53.73,-40.584087,-64.995372
52109,2021-09-24,143410.829,53.15,-40.584082,-64.995366
52110,2021-09-24,143411.000,53.12,-40.584082,-64.995366
55511,2021-09-24,144403.824,52.26,-40.584092,-64.995381
55512,2021-09-24,144404.000,52.22,-40.584092,-64.995381
59021,2021-09-24,145411.825,50.93,-40.584088,-64.995385
59022,2021-09-24,145412.000,50.88,-40.584088,-64.995385
62459,2021-09-24,150409.827,50.27,-40.584089,-64.995384
62460,2021-09-24,150410.000,50.24,-40.584089,-64.995384
65969,2021-09-24,151420.823,46.72,-40.584069,-64.995319
65970,2021-09-24,151421.000,46.67,-40.584069,-64.995319
69443,2021-09-24,152423.828,44.87,-40.584094,-64.995373
69444,2021-09-24,152424.000,44.84,-40.584094,-64.995373
72935,2021-09-24,153430.824,43.2,-40.584092,-64.995369
72936,2021-09-24,153431.000,43.17,-40.584092,-64.995369
76301,2021-09-24,154414.827,41.82,-40.584101,-64.995367
76302,2021-09-24,154415.000,41.77,-40.584101,-64.995367
79739,2021-09-24,155417.827,40.66,-40.584103,-64.995366
