,date,timeGMT,tempIMU_C,lat,lon
0,2022-01-21,134609.000,29.66,-40.585955,-65.000982
3617,2022-01-21,135639.823,36.99,-40.584499,-64.998669
3618,2022-01-21,135640.000,36.94,-40.584499,-64.998669
6983,2022-01-21,140625.827,44.29,-40.584372,-64.998553
6984,2022-01-21,140626.000,44.25,-40.584372,-64.998553
10457,2022-01-21,141630.828,45.12,-40.584328,-64.99853
10458,2022-01-21,141631.000,45.08,-40.584328,-64.99853
13931,2022-01-21,142633.828,44.1,-40.584346,-64.998544
13932,2022-01-21,142634.000,44.06,-40.584346,-64.998544
17405,2022-01-21,143637.825,45.81,-40.584368,-64.998573
17406,2022-01-21,143638.000,45.76,-40.584368,-64.998573
20879,2022-01-21,144639.825,49.84,-40.584373,-64.998588
20880,2022-01-21,144640.000,49.79,-40.584373,-64.998588
24353,2022-01-21,145642.828,48.68,-40.584368,-64.99864
24354,2022-01-21,145643.000,48.64,-40.584368,-64.99864
32759,2022-01-21,152105.830,37.65,-40.584349,-64.998637
32760,2022-01-21,152106.000,37.61,-40.584349,-64.998637
34685,2022-01-21,152641.825,39.54,-40.584358,-64.998635
34686,2022-01-21,152642.000,39.5,-40.584358,-64.998635
38141,2022-01-21,153643.828,38.73,-40.584345,-64.998629
38142,2022-01-21,153644.000,38.7,-40.584345,-64.998629
41597,2022-01-21,154644.827,37.58,-40.584357,-64.998618
41598,2022-01-21,154645.000,37.54,-40.584357,-64.998618
45071,2022-01-21,155646.825,35.21,-40.584353,-64.998621
45072,2022-01-21,155647.000,35.17,-40.584353,-64.998621
48545,2022-01-21,160649.828,35.49,-40.584356,-64.998627
48546,2022-01-21,160650.000,35.45,-40.584356,-64.998627
52001,2022-01-21,161651.828,38.67,-40.584363,-64.998624
52002,2022-01-21,161652.000,38.61,-40.584363,-64.998624
55475,2022-01-21,162655.825,41.59,-40.584351,-64.998605
55476,2022-01-21,162656.000,41.54,-40.584351,-64.998605
59003,2022-01-21,163706.829,47.17,-40.58435,-64.99862
59004,2022-01-21,163707.000,47.13,-40.58435,-64.99862
62441,2022-01-21,164704.827,47.66,-40.584342,-64.998618
62442,2022-01-21,164705.000,47.62,-40.584342,-64.998618
65915,2022-01-21,165708.825,43.89,-40.584347,-64.998613
65916,2022-01-21,165709.000,43.86,-40.584347,-64.998613
69371,2022-01-21,170708.825,43.67,-40.58434,-64.998599
69372,2022-01-21,170709.000,43.62,-40.58434,-64.998599
72863,2022-01-21,171717.825,44.29,-40.58435,-64.998606
72864,2022-01-21,171718.000,44.24,-40.58435,-64.998606
76355,2022-01-21,172725.823,48.21,-40.584346,-64.998585
76356,2022-01-21,172726.000,48.18,-40.584346,-64.998585
79757,2022-01-21,173715.827,43.77,-40.584338,-64.998576
79758,2022-01-21,173716.000,43.72,-40.584338,-64.998576
83303,2022-01-21,174733.827,43.64,-40.584347,-64.998606
83304,2022-01-21,174734.000,43.6,-40.584347,-64.998606
86669,2022-01-21,175717.827,45.85,-40.584351,-64.998607
86670,2022-01-21,175718.000,45.8,-40.584351,-64.998607
139301,2022-01-21,202943.848,43.25,-40.584348,-64.998619
139302,2022-01-21,202944.000,43.2,-40.584348,-64.998619
142379,2022-01-21,203837.825,38.11,-40.584385,-64.998607
