,date,timeGMT,tempIMU_C,lat,lon
0,2022-01-21,113250.000,25.57,-40.58484,-64.999169
3653,2022-01-21,114327.824,27.87,-40.584736,-64.999203
3654,2022-01-21,114328.000,27.84,-40.584736,-64.999203
6965,2022-01-21,115302.825,25.09,-40.584749,-64.999265
6966,2022-01-21,115303.000,25.05,-40.584749,-64.999265
10439,2022-01-21,120306.825,24.92,-40.58473,-64.999272
10440,2022-01-21,120307.000,24.89,-40.58473,-64.999272
13895,2022-01-21,121309.827,25.45,-40.584749,-64.999266
13896,2022-01-21,121310.000,25.39,-40.584749,-64.999266
17369,2022-01-21,122312.828,27.03,-40.584745,-64.999274
17370,2022-01-21,122313.000,26.98,-40.584745,-64.999274
20825,2022-01-21,123314.828,28.86,-40.584743,-64.999266
20826,2022-01-21,123315.000,28.83,-40.584743,-64.999266
24353,2022-01-21,124329.828,33.55,-40.584748,-64.999274
24354,2022-01-21,124330.000,33.5,-40.584748,-64.999274
27755,2022-01-21,125321.825,36.1,-40.584732,-64.999262
27756,2022-01-21,125322.000,36.05,-40.584732,-64.999262
31247,2022-01-21,130328.824,37.37,-40.584759,-64.999368
31248,2022-01-21,130329.000,37.34,-40.584759,-64.999368
34793,2022-01-21,131345.828,40.74,-40.58501,-64.999553
34794,2022-01-21,131346.000,40.71,-40.58501,-64.999553
38249,2022-01-21,132344.826,44.34,-40.58477,-64.999404
38250,2022-01-21,132345.000,44.3,-40.58477,-64.999404
41777,2022-01-21,133357.825,46.79,-40.584756,-64.99939
41778,2022-01-21,133358.000,46.75,-40.584756,-64.99939
45071,2022-01-21,134330.828,45.21,-40.58486,-64.99944
45072,2022-01-21,134331.000,45.16,-40.58486,-64.99944
48545,2022-01-21,135332.825,45.4,-40.584907,-64.999494
48546,2022-01-21,135333.000,45.36,-40.584907,-64.999494
52073,2022-01-21,140347.827,43.81,-40.584898,-64.999495
52074,2022-01-21,140348.000,43.76,-40.584898,-64.999495
55529,2022-01-21,141348.827,47.04,-40.584888,-64.999499
55530,2022-01-21,141349.000,46.99,-40.584888,-64.999499
58985,2022-01-21,142348.825,50.15,-40.584956,-64.999485
58986,2022-01-21,142349.000,50.1,-40.584956,-64.999485
62477,2022-01-21,143353.826,52.6,-40.585014,-64.999399
62478,2022-01-21,143354.000,52.56,-40.585014,-64.999399
65933,2022-01-21,144356.828,53.82,-40.585177,-64.999398
65934,2022-01-21,144357.000,53.78,-40.585177,-64.999398
69407,2022-01-21,145401.828,53.42,-40.585211,-64.999363
69408,2022-01-21,145402.000,53.38,-40.585211,-64.999363
72809,2022-01-21,150352.826,55.42,-40.585217,-64.999339
72810,2022-01-21,150353.000,55.38,-40.585217,-64.999339
76355,2022-01-21,151406.827,53.55,-40.585187,-64.99932
76356,2022-01-21,151407.000,53.52,-40.585187,-64.99932
79775,2022-01-21,152402.828,47.19,-40.585187,-64.999314
79776,2022-01-21,152403.000,47.14,-40.585187,-64.999314
83213,2022-01-21,153400.827,44.99,-40.585186,-64.999322
83214,2022-01-21,153401.000,44.94,-40.585186,-64.999322
86741,2022-01-21,154411.829,49.37,-40.585183,-64.999311
86742,2022-01-21,154412.000,49.33,-40.585183,-64.999311
90125,2022-01-21,155401.828,56.18,-40.58517,-64.999309
